FFT Engine,Time (s),OMP_NUM_THREADS
FFTW,42.98281811003107,1
NUMPY,58.48761545098387,1
NUMPY+BLAS,58.286421602999326,1
BLAS,37.75550304003991,1
FFTW,40.476762906997465,2
NUMPY,54.28093938797247,2
NUMPY+BLAS,54.7800619250047,2
BLAS,36.05361408600584,2
FFTW,39.902770293003414,4
NUMPY,53.58659090899164,4
NUMPY+BLAS,53.97564342699479,4
BLAS,32.89681088802172,4
FFTW,38.65337111102417,8
NUMPY,52.38576079899212,8
NUMPY+BLAS,52.252041909028776,8
BLAS,31.367546859022696,8
FFTW,43.58397859503748,16
NUMPY,56.39556063798955,16
NUMPY+BLAS,56.45527962397318,16
BLAS,38.256747520994395,16
